song1;song2;similarity
Tempo;Serenata Menina;0.9020
Taberna Transmontana;Promessa de Estudante;0.8979
Carpe Diem;Lado a Lado;0.8775
Serenata Menina;Lado a Lado;0.8738
Sapo Estudante;Promessa de Estudante;0.8737
Lágrima;Carta Sem Endereço;0.8681
A Tuna!;Coração de Estudante;0.8678
Hino da RaussTuna;Serenata Menina;0.8630
Noite Puxa Noite;Promessa de Estudante;0.8608
Promessa de Estudante;Serenata Menina;0.8579
Rauss, Quero Voltar;Promessa de Estudante;0.8576
Taberna Transmontana;Sapo Estudante;0.8568
Lua Feiticeira;Secreto Desejo;0.8564
Taberna Transmontana;Serenata Menina;0.8545
Secreto Desejo;O Meu Curso;0.8521
Taberna Transmontana;Hino Do Lagoa Azul;0.8504
Lágrima;Serenata Menina;0.8503
Secreto Desejo;Serenata Menina;0.8495
Lua Feiticeira;Coração de Estudante;0.8444
Hino da RaussTuna;Lado a Lado;0.8435
Rauss, Quero Voltar;Serenata Menina;0.8430
Lágrima;Para Ti;0.8411
Sapo Estudante;O Meu Curso;0.8409
Fim De Semana;Rauss, Quero Voltar;0.8393
O Meu Curso;Promessa de Estudante;0.8383
Hino da RaussTuna;Digressão;0.8380
Carpe Diem;Serenata Menina;0.8373
Secreto Desejo;Coração de Estudante;0.8360
Lua Feiticeira;Serenata Menina;0.8314
Febres Altas;Lua Feiticeira;0.8300
Hino Do Lagoa Azul;Azevinho;0.8298
Embuste Das Cidras;Promessa de Estudante;0.8284
Lua Feiticeira;Azevinho;0.8266
Coração de Estudante;Serenata Menina;0.8262
Carta Sem Endereço;Promessa de Estudante;0.8259
Tempo;Hino da RaussTuna;0.8257
A Tuna!;Lua Feiticeira;0.8244
Secreto Desejo;Promessa de Estudante;0.8241
Vida De Caloiro;Serenata Menina;0.8238
Hino Do Lagoa Azul;Lado a Lado;0.8226
Sapo Estudante;Serenata Menina;0.8216
Lágrima;Promessa de Estudante;0.8205
Noite Puxa Noite;Serenata Menina;0.8195
Febres Altas;Noite Puxa Noite;0.8162
Tempo;Lado a Lado;0.8160
Fim De Semana;Promessa de Estudante;0.8158
Carta Sem Endereço;O Meu Curso;0.8157
Hino Do Lagoa Azul;Serenata Menina;0.8155
Carpe Diem;Hino da RaussTuna;0.8153
Taberna Transmontana;Azevinho;0.8153
Taberna Transmontana;Noite Puxa Noite;0.8149
O Meu Curso;Serenata Menina;0.8133
O Meu Curso;Rauss, Quero Voltar;0.8117
Secreto Desejo;Sapo Estudante;0.8117
Digressão;Lado a Lado;0.8114
Rauss, Quero Voltar;Digressão;0.8112
Tempo;Rauss, Quero Voltar;0.8109
Carpe Diem;Secreto Desejo;0.8108
Coração de Estudante;Hino da RaussTuna;0.8101
Serenata Menina;Digressão;0.8098
Promessa de Estudante;Lado a Lado;0.8097
Vida De Caloiro;Hino da RaussTuna;0.8097
Lágrima;O Meu Curso;0.8092
Lágrima;Secreto Desejo;0.8088
Secreto Desejo;Lado a Lado;0.8083
Sapo Estudante;Azevinho;0.8083
Noite Puxa Noite;Sapo Estudante;0.8082
Carpe Diem;O Meu Curso;0.8081
Taberna Transmontana;Lado a Lado;0.8060
Carta Sem Endereço;Secreto Desejo;0.8039
Hino Do Caloiro;A Aventura Começou;0.8039
Carta Sem Endereço;Sapo Estudante;0.8035
Lágrima;Tempo;0.8027
Carpe Diem;Rauss, Quero Voltar;0.8027
Taberna Transmontana;Secreto Desejo;0.8023
Carpe Diem;Tempo;0.8021
Febres Altas;Azevinho;0.8018
Carpe Diem;Coração de Estudante;0.8010
A Tuna!;Para Ti;0.8003
Taberna Transmontana;Febres Altas;0.7999
Embuste Das Cidras;Taberna Transmontana;0.7998
Lua Feiticeira;Lado a Lado;0.7998
Lágrima;Carpe Diem;0.7997
Hino Do Lagoa Azul;Promessa de Estudante;0.7983
Azevinho;Coração de Estudante;0.7982
Lua Feiticeira;Hino Do Lagoa Azul;0.7980
A Aventura Começou;Promessa de Estudante;0.7971
