song1; song2; similarity
A Tuna!; Coração de Estudante; 0.9359
Tempo; Serenata Menina; 0.9258
Sapo Estudante; Promessa de Estudante; 0.9226
Serenata Menina; Lado a Lado; 0.9218
Lágrima; Carta Sem Endereço; 0.9212
Carpe Diem; Serenata Menina; 0.9194
Carpe Diem; Lado a Lado; 0.9165
Taberna Transmontana; Promessa de Estudante; 0.9112
Noite Puxa Noite; Promessa de Estudante; 0.9056
Para Ti; Serenata Menina; 0.9050
Sapo Estudante; Serenata Menina; 0.9046
Promessa de Estudante; Serenata Menina; 0.9043
Taberna Transmontana; Serenata Menina; 0.8988
Taberna Transmontana; Sapo Estudante; 0.8987
Taberna Transmontana; Hino Do Lagoa Azul; 0.8975
Rauss, Quero Voltar; Promessa de Estudante; 0.8970
Secreto Desejo; O Meu Curso; 0.8962
Sapo Estudante; O Meu Curso; 0.8960
Lágrima; Para Ti; 0.8953
Fim De Semana; Rauss, Quero Voltar; 0.8944
Lágrima; Serenata Menina; 0.8939
Hino da RaussTuna; Lado a Lado; 0.8927
Carta Sem Endereço; Sapo Estudante; 0.8920
Lágrima; Promessa de Estudante; 0.8916
Secreto Desejo; Sapo Estudante; 0.8907
A Tuna!; Lua Feiticeira; 0.8898
Febres Altas; Lua Feiticeira; 0.8893
Noite Puxa Noite; Sapo Estudante; 0.8887
Hino Do Lagoa Azul; Lado a Lado; 0.8872
Hino da RaussTuna; Serenata Menina; 0.8870
Vida De Caloiro; Hino da RaussTuna; 0.8866
Carpe Diem; Sapo Estudante; 0.8853
Embuste Das Cidras; Promessa de Estudante; 0.8851
Secreto Desejo; Serenata Menina; 0.8844
Lua Feiticeira; Azevinho; 0.8839
Hino da RaussTuna; Digressão; 0.8836
Noite Puxa Noite; Serenata Menina; 0.8825
Lua Feiticeira; Secreto Desejo; 0.8821
Lágrima; Sapo Estudante; 0.8819
Lua Feiticeira; Coração de Estudante; 0.8803
Hino Do Lagoa Azul; Azevinho; 0.8800
O Meu Curso; Serenata Menina; 0.8786
Carpe Diem; Tempo; 0.8773
Carpe Diem; Hino da RaussTuna; 0.8767
Febres Altas; Azevinho; 0.8766
Tempo; Hino da RaussTuna; 0.8765
Carta Sem Endereço; Promessa de Estudante; 0.8760
O Meu Curso; Promessa de Estudante; 0.8759
Sapo Estudante; Azevinho; 0.8750
Secreto Desejo; Promessa de Estudante; 0.8744
Sapo Estudante; Para Ti; 0.8743
Taberna Transmontana; Azevinho; 0.8740
Rauss, Quero Voltar; Serenata Menina; 0.8731
Febres Altas; Noite Puxa Noite; 0.8727
Tempo; Lado a Lado; 0.8727
Lágrima; O Meu Curso; 0.8707
Tempo; Rauss, Quero Voltar; 0.8705
Secreto Desejo; Coração de Estudante; 0.8693
Digressão; Lado a Lado; 0.8691
Taberna Transmontana; Lágrima; 0.8685
Tempo; Promessa de Estudante; 0.8682
Carpe Diem; Secreto Desejo; 0.8680
Vida De Caloiro; Serenata Menina; 0.8677
Taberna Transmontana; Noite Puxa Noite; 0.8672
Taberna Transmontana; Tempo; 0.8667
Lágrima; Secreto Desejo; 0.8667
Febres Altas; Serenata Menina; 0.8660
Hino Do Lagoa Azul; Serenata Menina; 0.8640
Promessa de Estudante; Lado a Lado; 0.8636
Taberna Transmontana; Lado a Lado; 0.8634
Carta Sem Endereço; Para Ti; 0.8632
Lua Feiticeira; Serenata Menina; 0.8617
Serenata Menina; Digressão; 0.8609
A Aventura Começou; Rauss, Quero Voltar; 0.8605
Carpe Diem; Hino Do Lagoa Azul; 0.8600
Lágrima; Tempo; 0.8591
Carpe Diem; Azevinho; 0.8587
Carpe Diem; Rauss, Quero Voltar; 0.8587
Coração de Estudante; Serenata Menina; 0.8586
Noite Puxa Noite; Lado a Lado; 0.8572
Carpe Diem; Promessa de Estudante; 0.8569
A Tuna!; Secreto Desejo; 0.8562
Carpe Diem; Coração de Estudante; 0.8560
Lua Feiticeira; Zé Fadista; 0.8558
Fim De Semana; Promessa de Estudante; 0.8558
Carpe Diem; O Meu Curso; 0.8545
Taberna Transmontana; Para Ti; 0.8541
Embuste Das Cidras; Taberna Transmontana; 0.8535
Sapo Estudante; Hino Do Lagoa Azul; 0.8529
Carta Sem Endereço; Secreto Desejo; 0.8522
Vida De Caloiro; Digressão; 0.8520
Taberna Transmontana; Febres Altas; 0.8512
Tempo; Hino Do Lagoa Azul; 0.8495
Carta Sem Endereço; O Meu Curso; 0.8478
Lágrima; Rauss, Quero Voltar; 0.8478
Vida De Caloiro; Carpe Diem; 0.8465
Coração de Estudante; Hino da RaussTuna; 0.8462
A Tuna!; Sapo Estudante; 0.8459
Carpe Diem; Digressão; 0.8458
Embuste Das Cidras; Sapo Estudante; 0.8456
Carpe Diem; Lua Feiticeira; 0.8452
Carta Sem Endereço; Serenata Menina; 0.8437
Sapo Estudante; Lado a Lado; 0.8429
Rauss, Quero Voltar; Digressão; 0.8428
Hino Do Lagoa Azul; Promessa de Estudante; 0.8420
Rauss, Quero Voltar; Lado a Lado; 0.8412
Febres Altas; Zé Fadista; 0.8411
Secreto Desejo; Lado a Lado; 0.8409
A Aventura Começou; Serenata Menina; 0.8409
Carpe Diem; Para Ti; 0.8409
A Aventura Começou; Promessa de Estudante; 0.8409
Tempo; Sapo Estudante; 0.8408
Azevinho; Lado a Lado; 0.8406
Febres Altas; Sapo Estudante; 0.8405
Hino Do Caloiro; A Aventura Começou; 0.8401
Promessa de Estudante; Para Ti; 0.8401
Sapo Estudante; Coração de Estudante; 0.8392
Rauss, Quero Voltar; Vamos Ao Festival; 0.8390
Zé Fadista; Azevinho; 0.8387
Taberna Transmontana; Carpe Diem; 0.8385
Vida De Caloiro; Tempo; 0.8385
Vida De Caloiro; Rauss, Quero Voltar; 0.8383
Noite Puxa Noite; Hino Do Lagoa Azul; 0.8381
Taberna Transmontana; Secreto Desejo; 0.8379
Coração de Estudante; Lado a Lado; 0.8376
Azevinho; Serenata Menina; 0.8373
Lua Feiticeira; Fraldiqueiros de Mindelo; 0.8371
Secreto Desejo; Azevinho; 0.8364
Tempo; A Aventura Começou; 0.8361
O Meu Curso; Rauss, Quero Voltar; 0.8359
Lua Feiticeira; Sapo Estudante; 0.8354
Lua Feiticeira; Para Ti; 0.8351
Noite Puxa Noite; Azevinho; 0.8349
Lua Feiticeira; Lado a Lado; 0.8344
Carta Sem Endereço; Rauss, Quero Voltar; 0.8340
Fim De Semana; Tempo; 0.8338
Azevinho; Coração de Estudante; 0.8332
Carpe Diem; Noite Puxa Noite; 0.8330
A Aventura Começou; Sapo Estudante; 0.8327
O Meu Curso; Para Ti; 0.8312
Secreto Desejo; Para Ti; 0.8312
Febres Altas; Tempo; 0.8310
Tempo; Digressão; 0.8309
A Tuna!; Serenata Menina; 0.8308
Fim De Semana; A Aventura Começou; 0.8307
Taberna Transmontana; Rauss, Quero Voltar; 0.8306
A Tuna!; Para Ti; 0.8298
Tempo; Secreto Desejo; 0.8294
Secreto Desejo; Fraldiqueiros de Mindelo; 0.8287
Fim De Semana; Digressão; 0.8282
A Tuna!; Carpe Diem; 0.8278
Para Ti; Lado a Lado; 0.8278
Lágrima; Carpe Diem; 0.8276
Vida De Caloiro; A Aventura Começou; 0.8272
Febres Altas; Lado a Lado; 0.8268
Fraldiqueiros de Mindelo; Coração de Estudante; 0.8266
A Aventura Começou; O Meu Curso; 0.8264
Febres Altas; Fraldiqueiros de Mindelo; 0.8253
A Tuna!; Azevinho; 0.8251
Carta Sem Endereço; Tempo; 0.8248
