song1; song2; similarity
Lágrima; Carta Sem Endereço; 0.9430
Carta Sem Endereço; O Meu Curso; 0.9421
Noite Puxa Noite; Promessa de Estudante; 0.9359
Lágrima; Serenata Menina; 0.9339
A Tuna!; Serenata Menina; 0.9325
A Tuna!; Para Ti; 0.9322
Carta Sem Endereço; Promessa de Estudante; 0.9312
A Tuna!; Coração de Estudante; 0.9312
Fim De Semana; Rauss, Quero Voltar; 0.9304
Carta Sem Endereço; Serenata Menina; 0.9273
Fim De Semana; Promessa de Estudante; 0.9267
Tempo; Serenata Menina; 0.9265
Coração de Estudante; Serenata Menina; 0.9258
Fim De Semana; Sapo Estudante; 0.9236
Sapo Estudante; Promessa de Estudante; 0.9214
A Tuna!; Carta Sem Endereço; 0.9213
Vida De Caloiro; Hino da RaussTuna; 0.9196
Fim De Semana; Carta Sem Endereço; 0.9170
Carpe Diem; Hino da RaussTuna; 0.9162
A Tuna!; Lágrima; 0.9149
A Aventura Começou; Rauss, Quero Voltar; 0.9144
Lágrima; Secreto Desejo; 0.9134
Rauss, Quero Voltar; Hino da RaussTuna; 0.9131
Serenata Menina; Lado a Lado; 0.9110
Lágrima; Para Ti; 0.9102
Rauss, Quero Voltar; Serenata Menina; 0.9092
Carta Sem Endereço; Sapo Estudante; 0.9089
Fim De Semana; A Aventura Começou; 0.9084
O Meu Curso; Promessa de Estudante; 0.9061
Noite Puxa Noite; Sapo Estudante; 0.9054
A Aventura Começou; O Meu Curso; 0.9054
A Tuna!; Lado a Lado; 0.9048
Coração de Estudante; Hino da RaussTuna; 0.9045
Taberna Transmontana; Promessa de Estudante; 0.9044
Sapo Estudante; Rauss, Quero Voltar; 0.9041
O Meu Curso; Rauss, Quero Voltar; 0.9033
Carta Sem Endereço; Rauss, Quero Voltar; 0.9031
A Tuna!; Secreto Desejo; 0.9030
Vida De Caloiro; Rauss, Quero Voltar; 0.9026
Carpe Diem; Rauss, Quero Voltar; 0.9026
Carta Sem Endereço; Noite Puxa Noite; 0.9021
Vida De Caloiro; O Meu Curso; 0.9020
Carpe Diem; Lado a Lado; 0.9015
Vida De Caloiro; Fim De Semana; 0.9011
Sapo Estudante; Serenata Menina; 0.9003
A Tuna!; Hino da RaussTuna; 0.9001
Taberna Transmontana; Noite Puxa Noite; 0.8992
Fim De Semana; O Meu Curso; 0.8991
Carta Sem Endereço; Secreto Desejo; 0.8989
Lágrima; O Meu Curso; 0.8975
A Tuna!; O Meu Curso; 0.8975
Secreto Desejo; Serenata Menina; 0.8973
Hino da RaussTuna; Lado a Lado; 0.8971
Taberna Transmontana; Sapo Estudante; 0.8965
Carpe Diem; O Meu Curso; 0.8964
Lágrima; Promessa de Estudante; 0.8962
Hino da RaussTuna; Serenata Menina; 0.8956
Promessa de Estudante; Serenata Menina; 0.8953
Lágrima; Carpe Diem; 0.8952
Rauss, Quero Voltar; Promessa de Estudante; 0.8949
Carpe Diem; Sapo Estudante; 0.8948
A Aventura Começou; Promessa de Estudante; 0.8946
Noite Puxa Noite; Serenata Menina; 0.8946
Febres Altas; Noite Puxa Noite; 0.8944
Carpe Diem; Carta Sem Endereço; 0.8943
Lágrima; Sapo Estudante; 0.8942
Carpe Diem; Serenata Menina; 0.8936
Carpe Diem; Coração de Estudante; 0.8935
Carta Sem Endereço; Tempo; 0.8926
Fim De Semana; Noite Puxa Noite; 0.8918
Vida De Caloiro; Sempre Bragança; 0.8915
Sapo Estudante; O Meu Curso; 0.8914
Vida De Caloiro; A Aventura Começou; 0.8908
Carta Sem Endereço; Coração de Estudante; 0.8903
Carta Sem Endereço; A Aventura Começou; 0.8888
A Tuna!; Carpe Diem; 0.8886
Lágrima; Tempo; 0.8882
A Tuna!; Tempo; 0.8870
Carpe Diem; Fim De Semana; 0.8867
Vida De Caloiro; Sapo Estudante; 0.8866
Vida De Caloiro; Serenata Menina; 0.8864
Rauss, Quero Voltar; Digressão; 0.8854
O Meu Curso; Serenata Menina; 0.8853
Fim De Semana; Hino da RaussTuna; 0.8849
Embuste Das Cidras; Promessa de Estudante; 0.8846
Vida De Caloiro; Coração de Estudante; 0.8840
A Aventura Começou; Noite Puxa Noite; 0.8838
Secreto Desejo; Coração de Estudante; 0.8837
O Meu Curso; Coração de Estudante; 0.8837
Coração de Estudante; Lado a Lado; 0.8832
Sapo Estudante; Hino Do Lagoa Azul; 0.8831
Carta Sem Endereço; Para Ti; 0.8828
O Meu Curso; Hino da RaussTuna; 0.8823
