song1;song2;similarity
Tempo;Serenata Menina;0.9666
Lágrima;Carta Sem Endereço;0.9610
Carta Sem Endereço;O Meu Curso;0.9605
Lágrima;Serenata Menina;0.9575
A Tuna;Para Ti;0.9569
A Tuna;Coração De Estudante;0.9562
Coração De Estudante;Serenata Menina;0.9551
Noite Puxa Noite;Promessa De Estudante;0.9534
Carta Sem Endereço;Promessa De Estudante;0.9520
Fim De Semana;Rauss, Quero Voltar;0.9520
A Tuna;Serenata Menina;0.9515
Fim De Semana;A Aventura Começou;0.9488
Fim De Semana;Sapo Estudante;0.9471
Fim De Semana;Promessa De Estudante;0.9452
A Aventura Começou;Rauss, Quero Voltar;0.9445
Carta Sem Endereço;Serenata Menina;0.9438
Sapo Estudante;Promessa De Estudante;0.9435
Carpe Diem;Hino Da RaussTuna;0.9434
Vida De Caloiro;Hino Da RaussTuna;0.9423
A Tuna;Lágrima;0.9411
Carta Sem Endereço;Sapo Estudante;0.9399
A Aventura Começou;Promessa De Estudante;0.9389
Secreto Desejo;Coração De Estudante;0.9370
A Aventura Começou;O Meu Curso;0.9365
Noite Puxa Noite;Sapo Estudante;0.9361
A Aventura Começou;Sapo Estudante;0.9351
Lágrima;Tempo;0.9344
Fim De Semana;Carta Sem Endereço;0.9344
A Tuna;Carta Sem Endereço;0.9343
Carta Sem Endereço;Noite Puxa Noite;0.9343
Carta Sem Endereço;A Aventura Começou;0.9334
Sapo Estudante;Rauss, Quero Voltar;0.9329
Sapo Estudante;Serenata Menina;0.9327
Lágrima;Secreto Desejo;0.9326
Secreto Desejo;Serenata Menina;0.9325
Coração De Estudante;Hino Da RaussTuna;0.9323
Lágrima;O Meu Curso;0.9322
Lágrima;Sapo Estudante;0.9315
O Meu Curso;Promessa De Estudante;0.9314
Lágrima;Para Ti;0.9307
Taberna Transmontana;Noite Puxa Noite;0.9306
Taberna Transmontana;Promessa De Estudante;0.9295
Vida De Caloiro;Fim De Semana;0.9293
Vida De Caloiro;A Aventura Começou;0.9293
Rauss, Quero Voltar;Hino Da RaussTuna;0.9290
A Tuna;Secreto Desejo;0.9282
Hino Do Lagoa Azul;Azevinho;0.9281
Serenata Menina;Lado A Lado;0.9280
Taberna Transmontana;Sapo Estudante;0.9271
Rauss, Quero Voltar;Serenata Menina;0.9266
Carpe Diem;Sapo Estudante;0.9263
Carta Sem Endereço;Secreto Desejo;0.9255
Carta Sem Endereço;Tempo;0.9248
Embuste Das Cidras;Promessa De Estudante;0.9244
Vida De Caloiro;Serenata Menina;0.9244
Vida De Caloiro;O Meu Curso;0.9243
Vida De Caloiro;Sempre Bragança;0.9242
Noite Puxa Noite;Serenata Menina;0.9241
Lágrima;Noite Puxa Noite;0.9241
Febres Altas;Noite Puxa Noite;0.9241
Carpe Diem;Lado A Lado;0.9240
Carpe Diem;O Meu Curso;0.9238
Sapo Estudante;O Meu Curso;0.9238
Carta Sem Endereço;Rauss, Quero Voltar;0.9236
Fim De Semana;O Meu Curso;0.9235
Carpe Diem;Rauss, Quero Voltar;0.9233
Lágrima;Promessa De Estudante;0.9232
O Meu Curso;Rauss, Quero Voltar;0.9231
Carpe Diem;Coração De Estudante;0.9231
Vida De Caloiro;Rauss, Quero Voltar;0.9230
A Tuna;O Meu Curso;0.9220
Hino Da RaussTuna;Serenata Menina;0.9219
Lágrima;Carpe Diem;0.9217
Fim De Semana;Noite Puxa Noite;0.9215
Vida De Caloiro;Sapo Estudante;0.9212
Carpe Diem;Serenata Menina;0.9206
A Tuna;Lado A Lado;0.9196
A Aventura Começou;Noite Puxa Noite;0.9187
Hino Da RaussTuna;Lado A Lado;0.9185
O Meu Curso;Serenata Menina;0.9180
Rauss, Quero Voltar;Promessa De Estudante;0.9172
Promessa De Estudante;Serenata Menina;0.9171
A Tuna;Hino Da RaussTuna;0.9167
Vida De Caloiro;Coração De Estudante;0.9166
Carpe Diem;Carta Sem Endereço;0.9164
O Meu Curso;Coração De Estudante;0.9154
Coração De Estudante;Lado A Lado;0.9143
Tempo;Coração De Estudante;0.9138
Carta Sem Endereço;Coração De Estudante;0.9138
A Tuna;Carpe Diem;0.9136
Rauss, Quero Voltar;Digressão;0.9130
Sapo Estudante;Hino Do Lagoa Azul;0.9126
Carpe Diem;Fim De Semana;0.9123
Secreto Desejo;O Meu Curso;0.9116
Sempre Bragança;Hino Da RaussTuna;0.9113
Taberna Transmontana;Azevinho;0.9112
A Aventura Começou;Serenata Menina;0.9106
A Tuna;Tempo;0.9102
Tempo;Rauss, Quero Voltar;0.9100
Vida De Caloiro;Promessa De Estudante;0.9099
Febres Altas;Serenata Menina;0.9095
Tempo;Sapo Estudante;0.9094
