song1; song2; similarity
Taberna Transmontana; Promessa de Estudante; 0.8145
Noite Puxa Noite; Promessa de Estudante; 0.8127
A Tuna!; Para Ti; 0.8119
Lágrima; Carta Sem Endereço; 0.8114
Tempo; Serenata Menina; 0.8041
Lágrima; Serenata Menina; 0.7860
Lua Feiticeira; Serenata Menina; 0.7853
Carta Sem Endereço; Promessa de Estudante; 0.7758
Coração de Estudante; Serenata Menina; 0.7732
Hino da RaussTuna; Serenata Menina; 0.7728
A Tuna!; Coração de Estudante; 0.7711
Lágrima; Para Ti; 0.7668
Lua Feiticeira; Secreto Desejo; 0.7653
Hino Do Caloiro; A Aventura Começou; 0.7631
Secreto Desejo; Serenata Menina; 0.7626
Carpe Diem; Lado a Lado; 0.7610
Serenata Menina; Lado a Lado; 0.7576
Sapo Estudante; Promessa de Estudante; 0.7570
Taberna Transmontana; Noite Puxa Noite; 0.7562
Taberna Transmontana; Sapo Estudante; 0.7520
Fim De Semana; Promessa de Estudante; 0.7519
Lua Feiticeira; Coração de Estudante; 0.7495
Rauss, Quero Voltar; Hino da RaussTuna; 0.7469
Lua Feiticeira; Lado a Lado; 0.7462
Rauss, Quero Voltar; Serenata Menina; 0.7449
Lágrima; Secreto Desejo; 0.7444
A Tuna!; Serenata Menina; 0.7401
Fim De Semana; Rauss, Quero Voltar; 0.7398
Hino da RaussTuna; Lado a Lado; 0.7397
Secreto Desejo; Coração de Estudante; 0.7392
Embuste Das Cidras; Promessa de Estudante; 0.7366
Carta Sem Endereço; Serenata Menina; 0.7352
Carta Sem Endereço; O Meu Curso; 0.7347
Tempo; Hino da RaussTuna; 0.7335
Lua Feiticeira; Hino da RaussTuna; 0.7330
Rauss, Quero Voltar; Digressão; 0.7323
Hino Do Lagoa Azul; Azevinho; 0.7321
Noite Puxa Noite; Sapo Estudante; 0.7320
Lágrima; Promessa de Estudante; 0.7310
Promessa de Estudante; Serenata Menina; 0.7299
Carpe Diem; Rauss, Quero Voltar; 0.7290
A Tuna!; Lua Feiticeira; 0.7290
Taberna Transmontana; Serenata Menina; 0.7289
Tempo; Rauss, Quero Voltar; 0.7275
Carta Sem Endereço; Tempo; 0.7267
Rauss, Quero Voltar; Promessa de Estudante; 0.7259
Coração de Estudante; Hino da RaussTuna; 0.7233
Taberna Transmontana; Azevinho; 0.7226
A Tuna!; Secreto Desejo; 0.7221
Lágrima; O Meu Curso; 0.7184
Secreto Desejo; Lado a Lado; 0.7168
Carpe Diem; Hino da RaussTuna; 0.7165
Carta Sem Endereço; Sapo Estudante; 0.7158
Carpe Diem; Serenata Menina; 0.7154
Taberna Transmontana; Lágrima; 0.7142
Lágrima; Tempo; 0.7137
Taberna Transmontana; Hino Do Lagoa Azul; 0.7135
Carta Sem Endereço; Rauss, Quero Voltar; 0.7129
Carta Sem Endereço; Secreto Desejo; 0.7126
A Tuna!; Lágrima; 0.7119
A Tuna!; Hino da RaussTuna; 0.7092
Carta Sem Endereço; Para Ti; 0.7082
Tempo; Lado a Lado; 0.7075
A Tuna!; Carta Sem Endereço; 0.7064
O Meu Curso; Serenata Menina; 0.7064
Febres Altas; Lua Feiticeira; 0.7050
O Meu Curso; Promessa de Estudante; 0.7037
Hino da RaussTuna; Digressão; 0.7020
A Tuna!; Tempo; 0.7006
Tempo; Secreto Desejo; 0.6996
Carpe Diem; Coração de Estudante; 0.6992
Rauss, Quero Voltar; Lado a Lado; 0.6991
Coração de Estudante; Lado a Lado; 0.6988
A Aventura Começou; Rauss, Quero Voltar; 0.6984
Carpe Diem; Sapo Estudante; 0.6938
Febres Altas; Serenata Menina; 0.6936
Vida De Caloiro; Serenata Menina; 0.6933
Embuste Das Cidras; Taberna Transmontana; 0.6931
Secreto Desejo; O Meu Curso; 0.6898
Taberna Transmontana; Secreto Desejo; 0.6895
Noite Puxa Noite; Serenata Menina; 0.6892
Serenata Menina; Digressão; 0.6887
Vida De Caloiro; Hino da RaussTuna; 0.6878
Carpe Diem; Tempo; 0.6875
Tempo; Coração de Estudante; 0.6862
Lua Feiticeira; Azevinho; 0.6849
A Tuna!; Lado a Lado; 0.6845
Febres Altas; Noite Puxa Noite; 0.6823
Taberna Transmontana; Carta Sem Endereço; 0.6821
Carpe Diem; Secreto Desejo; 0.6813
Lágrima; Carpe Diem; 0.6807
Febres Altas; Promessa de Estudante; 0.6800
Fim De Semana; Carta Sem Endereço; 0.6791
